Filename,Lyrics
./Corpus\LE SSERAFIM_Perferct Night.txt,"Perfect Night
by
LE SSERAFIM
2023

Me and my girlies, we gon' party till it's early
Got me feeling otherworldly tonight
Caught in some traffic, but the radio is blasting
Drop a red light and we'll sing it, ""Goodbye""

Ooh
By the morning, feel like magic
I got all I need, you know nothing else can beat
The way that I feel when I'm dancing with my girls
Perfect energy, yeah, we flawless, yeah, we free
There's no better feeling in the whole wide world

Tonight
I don't care what's wrong or right
Don't start blowing up my line
I'd care at 11:59
But nothing counts after midnight

Come and take a ride with me
I got a credit card and some good company
So come through, make the fit real good
Why you still stuck on loading? Waiting on you, babe

Ooh
Night to morning, live slow motion
I got all I need, you know nothing else can beat
The way that I feel when I'm dancing with my girls
Perfect energy, yeah, we flawless, yeah, we free
There's no better feeling in the whole wide world

Tonight
I don't care what's wrong or right
Don't start blowing up my line
I'd care at 11:59
But nothing counts after midnight

Ooh
By the morning, feel like magic
I got all I need, you know nothing else can beat
The way that I feel when I'm dancing with my girls
Perfect energy, yeah, we flawless, yeah, we free
There's no better feeling in the whole wide world

Tonight
I don't care what's wrong or right
Don't start blowing up my line
I'd care at 11:59
Don't start blowing up my line
"
./Corpus\LISA_MONEY.txt,"MONEY
by
LISA
2021

It's the end of the month and the weekend
I'ma spend this check, everything on me, yeah
I'ma tip myself, I'ma spend it on myself
I'ma drop it like it's pouring, I'ma pour it on myself

Check, check, check
Check that money, making bank, account number (Yikes!)
That's that shit that's never getting bounced on ya
Bitch, I do the money dance
I just made a hundred bands
When the store says, ""Sign for it""
I'ma leave my autograph

Dollar bills, dollar bills
Watch it falling for me, I love the way that feels
Dollar bills, dollar bills
Keep on falling for me, I love the way it feels

I came here to drop some money
Dropping all my money
Drop some money
All this bread so yummy, yeah

Twerking, twerking, when I buy the things I like
Dollar, dollars dropping on my ass tonight

Everyone silent
Listen to my money talk
Spend how I like it
Yeah, everyone know what I mean, mean
When they see green, when they see green, that mean go
Give me what the hell I want
Give me what the hell I want

Check that money, making bank, account number (Yikes!)
That's that shit that's never getting bounced on ya
Bitch, I do the money dance
I just made a hundred bands
When the store says, ""Sign for it""
I'ma leave my autograph

Dollar bills, dollar bills
Watch it falling for me, I love the way that feels
Dollar bills, dollar bills
Keep on falling for me, I love the way it feels

I came here to drop some money
Dropping all my money
Drop some money
All this bread so yummy, yeah

Twerking, twerking, when I buy the things I like
Dollar, dollars dropping on my ass tonight

Drop some money, dropping all my money
Drop some money
All this bread so yummy, yeah

Drop some money, dropping all my money
Drop some money
All this bread so yummy, yeah

My money moves
Money, I choose
Celine, my shoes
Walkin' on you
My money rules

My money moves
Money, I choose
Watch how my wons and yens, and dollars be droppin' on you, you, you

(Dun, dun-dun-dun-dun-dun, dun, dun-dun-dun-dun-dun-dun)
(Dun, dun-dun-dun-dun-dun, dun, dun)
Dropping on you
(Dun, dun-dun-dun-dun-dun, dun, dun-dun-dun-dun-dun-dun)
(Dun, dun-dun-dun-dun-dun, dun, dun)
Dropping on you"
./Corpus\NewJeans_GOD.txt,"GODS
(from ""League Of Legends"" soundtrack)
by
NewJeans
2023

Go-Go-Go-Go-Go-Gods
Go-Go-Go-Go-Go-Gods

(Ayy) This is what you came for
Blood on the game ball
Everybody droppin' like rainfall
(Uh) This is your moment
Eyes on the pulpit, kid
I think church just opened

And they're singin' your praises, la-la-la
Screamin' your name out la-la-loud
One more step, you're immortal now 'cause

Once you play God, once you play God
They're gonna crumble one by one
Then we gon' ride right into the sun
Like it's the day my kingdom come
Baby, we're

Go-Go-Go-Go-Go-Gods
Yeah, we're
Go-Go-Go-Go-Go-Gods

(Ayy) Welcome to the big show
Next on the ladder
Is it your name in the rafters?
Brief, brief, brief moment of silence
Bad girl woke up and chose violence

And they're singin' my praises, la-la-la
Screamin' my name out la-la-loud
This is why we're immortal now 'cause

Once you play God, once you play God
They're gonna crumble one by one (Crumble one by one)
Then we gon' ride right into the sun
Like it's the day my kingdom come
Baby, we're

Go-Go-Go-Go-Go-Gods
Yeah, we're
Go-Go-Go-Go-Go-Gods

I'm on my knees, pray for glory
Anyone read this underdog story?
I can't lose myself again
Help me raise this heart
Heart, unbreakable

Once you play God, once you play God
They're gonna crumble one by one (Crumble one by one)
Then we gon' ride right into the sun
Like it's the day my kingdom come
Once you play God, once you play God
They're gonna crumble one by one
Then we gon' ride right into the sun
Like it's the day my kingdom come
Baby, we're

Go-Go-Go-Go-Go-Gods
Yeah, we're (Gods)
Go-Go-Go-Go-Go-Gods
Go-Go-Go-Go-Go-Gods
Yeah, we're (Gods)
Go-Go-Go-Go-Go-Gods

Once you play"
./Corpus\ROSÉ_GONE.txt,"GONE
by
ROSÉ 
2021

I thought that you'd remember, but it seems that you forgot
It's hard for me to blame you when you were already lost
Oh, yeah
I'm tired of always waiting
Oh, yeah, yeah
I see you changed your number, that's why you don't get my calls
I gave you all of me, now you don't wanna be involved
Oh, yeah, yeah
I really gotta face it
Oh, yeah, yeah

I just wanna be the one
But to you we're already done
Tell me, why'd you have to hit-and-run me?
Now I'm all alone, crying ugly
You broke my heart just for fun
Took my love and just left me numb
Now it's eight in the morning
Hate in the morning (All because of you)

Another story that's sad and true
I can feel the pain, can you?
You had to be the one to let me down to color me blue
Hate to see you with someone new
I'll put a curse on her and you
Ain't no looking back, now you're dead and gone
My love is gone too

All my love is go-o-o-o-o-o-o-ne
All my love is go-o-o-o-o-o-o-ne
All my love is go-o-o-o-o-o-o-ne
All my love is gone
Now you're dead and gone

All my love is gone and the hate has grown
Standing all alone
And I'm searching for something
But I can't feel nothing
I pack my bags and go
This don't feel like home
Too much darkness for a rainbow
I feel so used
How am I supposed to live without you? I refuse (Yeah)

I just wanna be the one
But to you we're already done
Tell me, why'd you have to hit-and-run me?
Now I'm all alone, crying ugly
You broke my heart just for fun
Took my love and just left me numb
Now it's eight in the morning
Hate in the morning (All because of you)

Another story that's sad and true
I can feel the pain, can you?
You had to be the one to let me down to color me blue
Hate to see you with someone new
I'll put a curse on her and you
Ain't no looking back, now you're dead and gone
My love is gone too

All my love is go-o-o-o-o-o-o-ne
All my love is go-o-o-o-o-o-o-ne
All my love is go-o-o-o-o-o-o-ne
All my love is gone
Now you're dead and gone
"
./Corpus\ROSÉ_On The Ground.txt,"On The Ground
by
ROSÉ
2021

My life's been magic seems fantastic
I used to have a hole in the wall with a mattress
It's funny when you want it
Suddenly you have it
You find out that your gold's just plastic

Every day every night
I've been thinking back on you and I
Every day every night

I worked my whole life
Just to get right just to be like
Look at me, I'm never coming down

I worked my whole life
Just to get high just to realize
Everything I need is on the
Everything I need is on the ground
On the ground
Everything I need is on the ground

Nah but they don't hear me though
(Yeah what goes up it must come down)
Nah but they don't hear me though
(You're running out of time)

My world's been hectic seems electric
But I've been waking up with your voice in my head
And I'm trying to send a message
And let you know that every single minute
I'm without you, I regret it

Every day every night
I've been thinking back on you and I
Every day every night

I worked my whole life
Just to get right just to be like
Look at me, I'm never coming down
I worked my whole life
Just to get high just to realize
Everything I need is on the
Everything I need is on the ground
On the ground
Everything I need is on the ground

Nah but they don't hear me though
(Yeah what goes up it must come down)
Nah but they don't hear me though
(You're running out of time)

I'm way up in the clouds
And they say I've made it now
But I figured it out
Everything I need is on the ground

Just drove by your house
So far from you now
But I figured it out
Everything I need is on the
Everything I need is on the ground
On the ground
Everything I need is on the ground
Nah but they don't hear me though

On the ground
Nah but they don't hear me though
Everything I need is on the ground"
./Corpus\SEVENTEEN_Darl+ing.txt,"Darl+ing
by
SEVENTEEN
2022

You know, without you, I'm so lonely
When you're not here, 911 calling
Into your heat again, I'm diving
Darling, you, darling, you, baby

(Mm) Fighting 'round in circles, where is the way out?
(Mm) 'Cause I know that our love was hotter than the Sun
Yeah, the taste of this tequila I'm drinking now
Isn't bitter than my heart

(If you know this)
I want to know our problem, blood type, or DNA
(If you know this)
Friends see my feed and worry, do you, babe? Yeah
Been waiting for your call every night
But I can't wait no more
Dialing you-u-u, sorry, darling, you

You know, without you, I'm so lonely
When you're not here, 911 calling
Into your heat again, I'm diving
Darling, you, darling, you, baby
You know, without you, I'm so lonely
If you won't be here, 911 calling
Falling to you, I'm always diving
Darling, you, darling, you, baby

Darling, with me under the Sun
I know that you're my one
I don't wanna let you go
I can't think of being alone
What am I supposed to do-o-o-o-o?
And I gotta let you know
You got my heart like it's yours
Don't wanna say goodbye

(If you know this)
I want to know our problem, blood type, or DNA
(If you know this)
Friends see my feed and worry, do you, babe? Yeah
Been waiting for your call every night
But I can't wait no more
Dialing you-u-u, sorry, darling, you

You know, without you, I'm so lonely
When you're not here, 911 calling
Into your heat again, I'm diving
Darling, you, darling, you, baby
You know, without you, I'm so lonely
If you won't be here, 911 calling
Falling to you, I'm always diving
Darling, you, darling, you

I see you, you see me
I care for you, you care for me
We can be all we need
Promise I won't take you for granted, never
I'ma treat you better (I'ma treat you better)
I'ma see you better (I'ma see you better)
So honey, now come into my arms, yeah
Kiss me, baby
Kiss me, baby

You know, without you, I'm so lonely
When you're not here, 911 calling
Into your heat again, I'm diving
You know, without you, I'm so lonely
If you won't be here, 911 calling
Falling to you, I'm always diving
Darling, you, darling, you, baby"
./Corpus\TWICE_MOONLIGHT SUNRISE.txt,"MOONLIGHT SUNRISE
by
TWICE
2023

Oh, yeah
I guarantee I gotcha

I been craving for your love
Can't see nobody but us
So I, so I, so I
See you from across the room
Make my way over to you
I'm trippin' over butterflies

Oh yeah, baby, I don't really mean to rush
But I'ma really need your touch
If I'ma make it through the night
I got the moonlight
Tequila sunrise
Come take a shot on me, I gotcha

I don't know how to say this
I hope this song's on your playlist
This feeling's so hard to explain
I don't even know how to talk right now
It's I-need-you o'clock right now
I want you to hear me say

Moonlight sunrise
Baby, come be my starlight
Moonlight sunrise
Oh baby, just to make you stay
Moonlight sunrise
Baby, let's do it all night
Moonlight sunrise
I guarantee I gotcha

Loving undefeated, on your knees pleading
Baby, you can hit up my line when you need it
Said that you tried, baby, you succeeded
Got a craving, baby, can you feed it?
Took a trip under moonlight
Follow me to the sunrise
Every day, every night
Ay, come with me, don't think twice

Oh yeah, baby, I don't really mean to rush (Oh yeah)
But I'ma really need your touch
If I'ma make it through the night
I got the moonlight
Tequila sunrise
Come take a shot on me, I gotcha

I don't know how to say this
I hope this song's on your playlist
This feeling's so hard to explain
I don't even know how to talk right now
It's I-need-you o'clock right now
I want you to hear me say

Moonlight sunrise
Baby, come be my starlight
Moonlight sunrise
Oh baby, just to make you stay
Moonlight sunrise
Baby, let's do it all night
Moonlight sunrise
I guarantee I gotcha

Cards out on the table, what you say?
I need you, you need me, you're mine
I'm your moonlight
You're my sunrise, babe
I guarantee I gotcha

Moonlight sunrise (Oh)
Baby, come be my starlight (Oh yeah)
Moonlight sunrise
Oh baby, just to make you stay (Oh yeah)
Moonlight sunrise
Baby, let's do it all night (Baby, let's do it all night)
Moonlight sunrise (Oh yeah)
I guarantee I gotcha

Moonlight sunrise (Ooh)
Baby, come be my starlight (Ooh)
Moonlight sunrise
I guarantee I gotcha (Moonlight sunrise)
Moonlight sunrise (Moonlight)
Baby, let's do it all night (Sunrise)
Moonlight sunrise (Oh yeah yeah)
I guarantee I gotcha (I guarantee I gotcha)
Moonlight sunrise"
./Corpus\TWICE_The Feels.txt,"The Feels
by
TWICE
2021

Boy I, boy I, boy, I know
I know you get the feels
Boy I, boy I, boy, I know

Uh, I'm so curious
'Bout you, boy, wanna keep it cool
But I know every time you move
Got me frozen, I

Get so shy, it's obvious

Catching feels like butterflies
If I say what's on my mind
Would I hit bullseye?

Shoot
I'm ready, aim and fire
Baby, I

Feel like Cupid's alive
Alive tonight
Yeah, tonight

If your heart beats the same way, let me know
'Cause I'm boom, boom, boom from head to toe, and I

I know, love, it is such a funny thing
A mystery allure
Gotta get to know you more

'Cause I, I can feel a real connection
A supernatural attraction, ah

I got the feels for you, yeah, yeah, yeah, yeah

You have stolen my heart, oh, yeah
Never let it go, oh, oh, no
Never let it go, oh, oh, oh

Lightning straight to my heart, oh, yeah
I got all the feels for sure
Yeah, I got all the feels for ya

Boy I, boy I, boy, I know
I know I get the feels
Boy I, boy I, boy, I know
I know you feel it too

Sway in the moonlight, dance in the dark, I
I know that I caught your eye

Are we on the same vibe? I
Wonder what's on your mind

'Cause you got me good and I wanna be ya boo
If it's dumb, well, I wanna be a fool

Underneath the neon lights, bebe
Electricity tonight, bebe

I know, love, it is such a funny thing
A mystery allure
Gotta get to know you more

'Cause I, I can feel a real connection
A supernatural attraction, ah

I got the feels for you, yeah, yeah, yeah, yeah

You have stolen my heart, oh, yeah
Never let it go, oh, oh, no
Never let it go, oh, oh, oh

Lightning straight to my heart, oh, yeah
I got all the feels for sure
Yeah, I got all the feels for ya

Boy I, boy I, boy, I know
I know I get the feels
Boy I, boy I, boy, I know
I know you feel it too

Boy I, boy I, boy, I know
I know I get the feels
Boy I, boy I, boy, I know
I know you feel it too

You got my attention
So what's your intention?
Yeah, tell me, baby, what's the deal?

Oh, one look and I know it, baby, my eyes reveal
That you, you, you give me the feels

You have stolen my heart, oh, yeah
Never let it go, oh, oh, no
Never let it go, oh, oh, oh

Lightning straight to my heart, oh, yeah
I got all the feels for sure
Yeah, I got all the feels for ya

Boy I, boy I, boy, I know
I know I get the feels
Boy I, boy I, boy, I know
I know you feel it too

Boy I, boy I, boy, I know
I know I get the feels
Boy I, boy I, boy, I know
I know you feel it too"
./Corpus\TXT_Back For More.txt,"Back For More
by
TXT (Tomorrow X Together) & Anitta Lyrics
2023

I can see you comin' back for more
Comin' back for more, ayy
If you walk out that door

When I'm with you, it all feels different
When I'm with you, it all makes sense
And I know you don't feel no different
Woah-ooh
There's a magic to how we livin'
There's a magic to what this is
It's like a dream and we both day-trippin'
Woah-ooh

All I know is if you walk away
There'll be something
There'll be things you can't replace
All I know is if you walk away
There'll be something
Baby, that's okay, 'cause

I can see you comin' back for more
Comin' back for more (Yeah)
If you walk out that door
I can see you comin' back for more (Can you?)
Comin' back for more (Yeah)
If you walk out that door

I don't wanna feel nobody
If it isn't you, baby
Contigo me pongo naughty
Been thinking about you lately
Ita, ita
Loco como mueve el culo, Anitta
De todas yo soy la favorita
Tú estás pa' mí y yo pa' ti todita
Pa-pa-pam-pam, pam-pam-pam-pam
I know what you like, sing it like
Pa-pa-pam-pam, pam-pam-pam-pam
Esto va a empezar (Oh)

All I know is if you walk away
There'll be something (Something)
Baby, that's okay, 'cause

I can see you comin' back for more
Comin' back for more (Hey)
If you walk out that door
I can see you comin' back for more (I can see you, ooh-ooh, ow)
Comin' back for more (Got me back for more, ah)
If you walk out that door (Come on; Door, oh)

When I'm with you, it all feels different
When I'm with you, when I'm with you (No)
I can see you comin' back for more (Oh, oh)
Comin' back for more
If you walk out that—
"
./Corpus\TXT_Do It Like That.txt,"Do It Like That
by
TXT (Tomorrow X Together) & Jonas Brothers
2023

You get me so off track, yeah
Been spinnin' for miles
But I think that you like that
Can't deny it

You bringin' my life back, yeah
You doin' it in style
You came with that jet pack
Now we're flyin'

Every time I'm with you, like a time machine
Makin' everybody jealous like you seventeen
Oh God, you the cover of a magazine
Got me feelin' like, ""Damn""

Oh my God
Don't know how you do it like that
Yeah, oh my God
Don't know how you do it like that, yeah

Blow my mind
Then somehow you bring it right back
Yeah, oh my God
Don't know how you do it like that, yeah

Some things you can't fake it
Some things you just feel
Got plans we ain't made yet
It's whatever

You throwin' that drink back
You stayin' awhile
You rockin' that fit that's makin' all them strangers smile

Every time I'm with you, like a time machine
Makin' everybody jealous like you seventeen
My God, you the cover of a magazine
Got me feelin' like, ""Damn""

Oh my God
Don't know how you do it like that
Yeah, oh my God
Don't know how you do it like that, yeah

Blow my mind
Then somehow you bring it right back
Yeah, oh my God
Don't know how you do it like that, yeah

You sendin' signals, and them waves go far
Got people dancin' up on top of their cars
You sendin' signals, and them waves go far
Yeah, oh my God
Don't know how you do it like that, yeah

Oh my God
You blowin' my mind like that
Oh my God
The way that you bring it right back

Oh my God
You blowin' my mind like that
Oh my God
The way that you bring it right back

Oh my God
Don't know how you do it like that
Yeah, oh my God
Don't know how you do it like that, yeah

Blow my mind
Then somehow you bring it right back
Yeah, oh my God
Don't know how you do it like that, yeah

You sendin' signals, and them waves go far
Got people dancin' up on top of their cars

You sendin' signals, and them waves go far
Yeah, oh my God
Don't know how you do it like that, yeah"
